"samples","level_1","level_2","category","Betaproteobacteria","Alphaproteobacteria","Gammaproteobacteria","Deltaproteobacteria","Other.Proteobacteria","Actinobacteria","Firmicutes","Chloroflexi","Cyanobacteria","Candidatus.Melainabacteria","Candidatus.Margulisbacteria","Armatimonadetes","Deinococcus.Thermus","Tenericutes","Candidatus.Nealsonbacteria","Candidatus.Portnoybacteria","Candidatus.Wolfebacteria","Candidatus.Falkowbacteria","Candidatus.Magasanikbacteria","Candidatus.Staskawiczbacteria","Candidatus.Nomurabacteria","Candidatus.Uhrbacteria","Candidatus.Moranbacteria","Candidatus.Yanofskybacteria","Candidatus.Jorgensenbacteria","Candidatus.Kuenenbacteria","Candidatus.Kaiserbacteria","Candidatus.Harrisonbacteria","Candidatus.Zambryskibacteria","Candidatus.Giovannonibacteria","Candidatus.Buchananbacteria","Candidatus.Taylorbacteria","Candidatus.Wildermuthbacteria","Candidatus.Tagabacteria","Candidatus.Ryanbacteria","Candidatus.Komeilibacteria","Candidatus.Azambacteria","Candidatus.Sungbacteria","Candidatus.Terrybacteria","Candidatus.Liptonbacteria","Candidatus.Campbellbacteria","Candidatus.Niyogibacteria","Candidatus.Kerfeldbacteria","Candidatus.Colwellbacteria","Candidatus.Spechtbacteria","Candidatus.Lloydbacteria","Candidatus.Brennerbacteria","Candidatus.Parcubacteria","Candidatus.Vogelbacteria","Candidatus.Yonathbacteria","Candidatus.Adlerbacteria","Candidatus.Andersenbacteria","Candidatus.Jacksonbacteria","Candidatus.Veblenbacteria","Candidatus.Roizmanbacteria","Candidatus.Shapirobacteria","Candidatus.Levybacteria","Candidatus.Woesebacteria","Candidatus.Gottesmanbacteria","Candidatus.Daviesbacteria","Candidatus.Pacebacteria","Candidatus.Curtissbacteria","Candidatus.Beckwithbacteria","Candidatus.Amesbacteria","Candidatus.Collierbacteria","Candidatus.Woykebacteria","Candidatus.Blackburnbacteria","Candidatus.Chisholmbacteria","Candidatus.Gracilibacteria","Candidatus.Atribacteria","Candidatus.Aminicenantes","Candidatus.Berkelbacteria","Candidatus.Rokubacteria","candidate.division.WWE3","Candidatus.Peregrinibacteria","candidate.division.WOR.3","Candidatus.Desantisbacteria","Candidatus.Doudnabacteria","Candidatus.Schekmanbacteria","Candidatus.Saccharibacteria","candidate.division.CPR1","Candidatus.Bipolaricaulota","Candidatus.Poribacteria","candidate.division.CPR2","Candidatus.Eisenbacteria","candidate.division.NC10","Candidatus.Edwardsbacteria","Candidatus.Handelsmanbacteria","Candidatus.Firestonebacteria","candidate.division.CPR3","Candidatus.Raymondbacteria","Candidatus.Lindowbacteria","Candidatus.Coatesbacteria","Candidatus.Fraserbacteria","Candidatus.Riflebacteria","Candidatus.Fischerbacteria","Candidatus.Glassbacteria","Candidatus.Dadabacteria","Candidatus.Abawacabacteria","Candidatus.Wirthbacteria","Candidatus.Wallbacteria","Candidatus.Delongbacteria","Bacteroidetes","Ignavibacteriae","Chlorobi","Balneolaeota","Candidatus.Marinimicrobia","Gemmatimonadetes","Candidatus.Cloacimonetes","candidate.division.Zixibacteria","Candidatus.Hydrogenedentes","Fibrobacteres","Candidatus.Latescibacteria","Candidatus.Fermentibacteria","Planctomycetes","Verrucomicrobia","Candidatus.Omnitrophica","Lentisphaerae","Chlamydiae","Kiritimatiellaeota","Nitrospirae","Acidobacteria","Elusimicrobia","Spirochaetes","Nitrospinae","Candidatus.Tectomicrobia","Fusobacteria","Thermotogae","Synergistetes","Caldiserica","Thermodesulfobacteria","Deferribacteres","Dictyoglomi","Aquificae","Calditrichaeota","Chrysiogenetes","Coprothermobacterota","Euryarchaeota","Candidatus.Woesearchaeota","Candidatus.Micrarchaeota","Candidatus.Diapherotrites","Candidatus.Aenigmarchaeota","Nanoarchaeota","Candidatus.Parvarchaeota","Crenarchaeota","Thaumarchaeota","Candidatus.Bathyarchaeota","Candidatus.Verstraetearchaeota","Candidatus.Korarchaeota","Candidatus.Heimdallarchaeota","Candidatus.Thorarchaeota","Candidatus.Odinarchaeota","Candidatus.Lokiarchaeota","Rhodothermaeota"
"DRR125227","free-living","groundwater","Porous Contaminated",0.688778416,0.056646,0.064237296,0.045850461,0.011129553,0.022832225,0.009433621,0.011352148,0.001512634,5.31e-05,2.07e-05,0.000509784,0.000758735,0.000166474,0.000622102,0.000279897,0.00034027,0.000674185,0.000638404,0.00037246,0.000631082,0.000449963,0.000424129,0.000618648,0.000215104,0.000104029,0.000853922,0.000289568,0.000374394,0.000375914,0.000269812,0.000277825,0.00011439,0.000168132,0.000128344,0.000117292,0.000393873,0.000226156,6.67e-05,0.00016081,6.63e-05,7.47e-05,8.3e-05,6.18e-05,3.58e-05,8.98e-05,1.42e-05,3.54e-05,6.77e-05,5.62e-05,0.000205571,1.82e-05,1.49e-05,3.73e-06,0.000728065,0.000195072,0.000538657,0.001187699,0.000780148,0.000475522,5.89e-05,0.000253648,0.000142435,8.5e-05,5.86e-05,5.79e-05,4.34e-05,6.53e-05,5.53e-06,6.51e-05,0.000530368,0.000172967,0.004299451,0.000207782,0.00028045,8.37e-05,3.59e-05,0.000249089,0.000321205,0.000207229,2.13e-05,6.85e-05,7.47e-05,1.56e-05,8.22e-05,0.003946885,2.33e-05,0.000939024,2.68e-05,1.2e-05,2.28e-05,5.58e-05,1.96e-05,1.92e-05,2.16e-05,1.27e-05,0.000219663,3.66e-05,6.91e-06,1.3e-05,1.77e-05,2.76e-06,0.008101829,0.001460274,0.000218005,4.92e-05,0.00026401,0.001203172,9.12e-05,0.000149619,8.23e-05,8.79e-05,3.47e-05,2.82e-05,0.013439774,0.00324728,0.003011039,0.000516415,7.23e-05,3.61e-05,0.011104578,0.004201363,0.003788977,0.001069164,0.001217678,0.000172276,0.00011218,9.74e-05,0.000183605,7.79e-05,3.36e-05,6.09e-05,8.15e-06,6.05e-05,3.05e-05,2.39e-05,2.35e-06,0.001808557,0.00042855,6.67e-05,4.12e-05,1.98e-05,2.94e-05,3.04e-06,7.83e-05,0.002928976,0.000139396,1.05e-05,1.66e-06,1.11e-05,1.38e-06,4.42e-06,5.11e-06,0
"ERR2108715","free-living","groundwater","Karst-Porous",0.074797527,0.068658348,0.448256287,0.021612568,0,0.29970826,0.012015205,0.01038752,0.001458443,3.31e-05,1.12e-05,0.00065658,0.001015456,0.000204417,2.96e-05,1.94e-05,1.63e-05,7.49e-05,0.000108071,5.76e-05,0.000151911,0.000105012,0.000113678,4.33e-05,7.03e-05,1.02e-05,0.000107051,1.43e-05,4.08e-05,1.53e-05,2.7e-05,4.08e-05,1.53e-06,7.14e-06,1.22e-05,1.73e-05,8.16e-06,2.29e-05,1.53e-06,1.84e-05,9.69e-06,4.08e-06,1.12e-05,3.57e-06,8.16e-06,9.18e-06,1.53e-06,1.78e-05,1.02e-05,8.67e-06,1.17e-05,8.16e-06,1.53e-06,0,0.000100934,3.01e-05,7.09e-05,9.43e-05,6.17e-05,3.62e-05,2.14e-05,2.29e-05,1.27e-05,1.38e-05,1.17e-05,1.17e-05,5.1e-06,1.12e-05,3.06e-05,4.38e-05,0.000557685,2.04e-05,0.002119611,5.81e-05,0.000113678,5.51e-05,1.38e-05,2.85e-05,2.65e-05,9.38e-05,1.53e-06,8e-05,0.000107561,4.08e-06,0.000332368,0.000387423,1.22e-05,0.000138657,1.73e-05,3.57e-06,2.14e-05,4.33e-05,2.14e-05,1.12e-05,2.34e-05,4.59e-06,5e-05,2.8e-05,1.02e-06,8.16e-06,5.51e-05,4.59e-06,0.018831298,0.002333203,0.000229905,4.18e-05,0.000258962,0.002256738,8e-05,4.69e-05,0.000166184,0.000101953,3.98e-05,2.65e-05,0.00806859,0.007680148,0.000549019,0.000435851,0.00010909,4.89e-05,0.002895476,0.013314601,0.001024631,0.001066432,0.000133049,9.53e-05,0.00017485,7.44e-05,0.000250296,1.07e-05,1.43e-05,5.05e-05,1.07e-05,4.43e-05,2.14e-05,8.16e-06,3.06e-06,0.00214255,0.000111129,2.45e-05,1.53e-05,8.67e-06,5.61e-06,2.04e-06,0.000112149,0.003926734,2.91e-05,1.53e-06,0,2.14e-05,5.1e-06,1.02e-06,2.04e-06,0
"ERR2136696","free-living","groundwater","Mine",0.083293776,0.165110759,0.207436709,0.008557489,0,0.209295334,0.150391481,0.003470091,0.020732853,7.52e-05,0,0.000613843,0.003207015,0.003532728,2.51e-05,0.000187911,0.000137801,0.000450987,0.000275603,7.52e-05,0.000212966,0.000275603,0.0009145,0.000300658,0,1.25e-05,0.000162856,0.00067648,2.51e-05,1.25e-05,1.25e-05,0,0,0,5.01e-05,3.76e-05,0.000137801,2.51e-05,3.76e-05,3.76e-05,0,1.25e-05,0,5.01e-05,0,1.25e-05,0,0.000125274,0,6.26e-05,0,0,0,0,0.000112747,6.26e-05,0.000977137,0.000313185,0.000238021,0.000100219,6.26e-05,0.000100219,1.25e-05,1.25e-05,2.51e-05,0,0,0.000112747,1.25e-05,0.000501096,0.000488569,2.51e-05,0.000425932,0.000751644,0.000263075,7.52e-05,0,1.25e-05,5.01e-05,0.000162856,0,3.76e-05,0.000501096,0,5.01e-05,3.76e-05,0,0,0,0,1.25e-05,0,2.51e-05,0,0,0,1.25e-05,1.25e-05,0,0,0,6.26e-05,0.091800814,0.0009145,0.000112747,5.01e-05,0.002705919,0.000814281,2.51e-05,8.77e-05,0.000100219,6.26e-05,2.51e-05,0,0.003896023,0.003307235,0.000300658,0.000425932,0.000638898,2.51e-05,0.000526151,0.003169433,0.001227686,0.003996242,0.000112747,0,0.001991857,0.00125274,3.76e-05,6.26e-05,6.26e-05,6.26e-05,0.000563733,0.00038835,0,0,1.25e-05,0.012727842,0.000638898,2.51e-05,0,0,3.76e-05,0,0.001829001,0.00101472,0.000112747,1.25e-05,0,6.26e-05,0,0,0.000112747,0
"ERR2136697","free-living","groundwater","Mine",0.152366034,0.182116805,0.159040961,0.015793042,0.01429496,0.233662941,0.111757252,0.007614156,0.004593384,3.39e-05,1.13e-05,0.000758021,0.001991221,0.001108748,0.000169706,1.13e-05,1.13e-05,0.000486491,3.39e-05,0,5.66e-05,0.000169706,7.92e-05,1.13e-05,0,1.13e-05,4.53e-05,2.26e-05,4.53e-05,2.26e-05,2.26e-05,5.66e-05,0,0,2.26e-05,5.66e-05,1.13e-05,1.13e-05,0,0,1.13e-05,0,1.13e-05,5.66e-05,0,4.53e-05,0,1.13e-05,2.26e-05,0,0,1.13e-05,0,0,5.66e-05,0,0.000226275,5.66e-05,3.39e-05,3.39e-05,1.13e-05,0,0,1.13e-05,3.39e-05,0,0.000135765,1.13e-05,5.66e-05,0.000282844,0.000565688,6.79e-05,0.001187944,9.05e-05,0.000282844,6.79e-05,1.13e-05,0,0.000237589,0.000486491,1.13e-05,4.53e-05,1.13e-05,0,7.92e-05,0.000282844,1.13e-05,6.79e-05,0,0,4.53e-05,0.000101824,0,0.000113138,3.39e-05,0,2.26e-05,0,0,0,1.13e-05,0,0.064488392,0.000690139,0.000305471,9.05e-05,0.001221885,0.001414219,0.000158393,3.39e-05,0.000214961,0.000158393,1.13e-05,2.26e-05,0.006075485,0.003077341,0.001516043,0.000350726,0.000147079,1.13e-05,0.0009051,0.009661945,0.000701453,0.001583925,9.05e-05,0.000113138,0.001527357,0.000203648,0.000701453,9.05e-05,1.13e-05,0.000203648,0,0.000395981,0,6.79e-05,0,0.010205005,0.000135765,4.53e-05,0,0,0,0,0.001108748,0.000565688,0.000135765,0,1.13e-05,7.92e-05,0,0,1.13e-05,0
"ERR2191545","free-living","groundwater","Subsurface saline",0.114268844,0.258454184,0.141353373,0.112654271,0.056746382,0.045633848,0.040477561,0.014461707,0.006341534,0.000249102,5.49e-05,0.001392032,0.000959559,0.001769715,0.003558141,0.002388822,0.001014062,0.008173428,0.004612697,0.001525507,0.005947443,0.002398898,0.003996276,0.001194747,0.000755941,0.001051485,0.001156269,0.000462795,0.000841821,0.000928757,0.001579722,0.001124028,0.00031368,0.00043065,0.00032625,0.001129113,0.000685029,0.000480451,0.000247086,0.000276929,0.000850169,0.00016207,0.00147158,0.000236531,0.000179629,0.000267909,9.64e-05,0.000432473,0.000320397,0.000255243,7.56e-05,8.15e-05,6.98e-05,1.64e-05,0.002684558,0.001030183,0.001512361,0.002407438,0.002600213,0.00082666,0.000947757,0.00047076,0.000864371,0.000196422,0.000484673,0.000217628,0.000338532,8.49e-05,5.14e-05,0.008281859,0.001472539,0.001135254,0.00062237,0.001317475,0.002819664,0.000455215,0.003232083,0.00046625,0.000310417,0.000463371,9.3e-05,0.000153529,0.000197189,0.000145853,0.000137697,0.000120329,7.02e-05,0.000249773,0.000150843,5.02e-05,0.000103057,7.75e-05,3.67e-05,1.91e-05,0.000148444,6.96e-05,0.000109774,6.31e-05,3.74e-05,2.13e-05,1.56e-05,2.06e-05,0.037087727,0.002429316,0.000444276,0.000156216,0.002059502,0.001350483,0.000396778,0.000339972,0.001895225,0.000198053,0.000117258,6.19e-05,0.016701414,0.007307618,0.005316725,0.001775472,0.001064055,0.000124647,0.004473656,0.00339089,0.006618271,0.003617058,0.000828483,7.02e-05,0.00120607,0.000475557,0.000426812,0.000134818,0.000211583,0.000225496,7.65e-05,0.00021686,0.000112364,4.14e-05,5.18e-06,0.006324934,0.002136842,0.000229622,0.004157002,0.000154969,0.000250157,1.24e-05,0.000533419,0.001459969,0.000346593,5.47e-06,2.88e-06,9.13e-05,4.22e-06,7.29e-06,7.2e-06,0
"ERR2191546","free-living","groundwater","Subsurface saline",0.031965841,0.589884289,0.159406346,0.008369778,0.03724229,0.100468232,0.014799245,0.003545856,0.001326435,1.9e-05,1.97e-05,0.000343892,0.000721512,0.000196534,0.003100307,0.000378522,0.000385387,0.000880413,0.000261717,0.000199452,0.000261588,0.000233653,0.000426282,0.000218119,0.000236571,0.00019559,0.000125602,8.03e-05,9.67e-05,0.000103459,0.000227087,0.000104747,8.92e-05,2.83e-05,5.08e-05,0.000107579,3.52e-05,7.72e-05,2.96e-05,4.48e-05,4.78e-05,2.92e-05,5.18e-05,2.02e-05,2.57e-05,1.33e-05,2.33e-05,2.61e-05,1.71e-05,4.14e-05,8.63e-06,2.11e-05,1.77e-05,2.7e-06,0.000491507,0.000591834,0.000270986,0.002240276,0.000592993,0.000135557,4.15e-05,9.07e-05,0.000395514,0.000114316,7.02e-05,7.44e-05,5.88e-05,5.69e-05,3.95e-06,0.000966279,0.000273432,0.000154996,0.000236656,0.000227087,0.000129335,8.33e-05,0.000169243,6.64e-05,4.03e-05,0.000108137,3.86e-06,2.97e-05,5.96e-05,1e-05,4.89e-05,3.93e-05,3.35e-06,3.33e-05,2e-05,9.83e-06,6.22e-06,1.39e-05,6.44e-06,3e-06,7.85e-06,1.2e-05,4.39e-05,1.36e-05,1.07e-06,5.15e-06,3.58e-05,0,0.006202802,0.00027429,0.000114402,2.55e-05,0.000196577,0.000469751,6.81e-05,5.25e-05,6.55e-05,0.000111999,1.55e-05,1.01e-05,0.003862499,0.002258771,0.000405813,0.000231421,5.72e-05,2.44e-05,0.002336398,0.001468471,0.000725718,0.000720912,0.00017259,1.46e-05,0.000127104,7.88e-05,8.74e-05,3.73e-05,1.46e-05,3.16e-05,1.08e-05,4.14e-05,1.18e-05,2.81e-05,2.79e-06,0.013804859,0.000115389,3.9e-05,7.14e-05,9.61e-06,6.57e-06,8.58e-07,0.000160575,9.09e-05,0.000582136,7.29e-06,3.99e-06,1.4e-05,0,6.99e-06,3.9e-06,0
"mgm4441834","free-living","groundwater","Porous",0.101917189,0.007831168,0.128108199,0.018882542,0.646399292,0.004645556,0.007109109,0.00534063,0.001117397,5.28e-05,0,0.000334339,0.000175968,0.000140774,0.000114379,4.4e-05,0.000184766,7.04e-05,0.000193565,5.28e-05,0.000175968,0.000158371,0.000175968,7.04e-05,5.28e-05,3.52e-05,0.000105581,7.92e-05,7.92e-05,0.000211162,7.04e-05,6.16e-05,7.92e-05,5.28e-05,3.52e-05,3.52e-05,3.52e-05,7.04e-05,0.000290347,4.4e-05,8.8e-06,8.8e-06,2.64e-05,1.76e-05,3.52e-05,1.76e-05,0,0,1.76e-05,3.52e-05,8.8e-06,0,8.8e-06,8.8e-06,0.000325541,3.52e-05,0.00027275,0.000721469,0.000237557,0.000730267,2.64e-05,0.000756663,8.8e-05,4.4e-05,3.52e-05,0.000149573,8.8e-06,0.000202363,2.64e-05,4.4e-05,0.000140774,6.16e-05,0.002023633,0.000686275,0.000123178,4.4e-05,3.52e-05,6.16e-05,0.000774259,0.000140774,1.76e-05,2.64e-05,0,8.8e-06,9.68e-05,0.000615888,8.8e-06,0.000140774,0,0,8.8e-06,8.8e-06,0,5.28e-05,0,8.8e-06,0.000131976,0.004891912,8.8e-06,0,8.8e-06,8.8e-06,0.019717219,0.002850682,8.8e-05,4.4e-05,0.000263952,0.000343138,5.28e-05,0.00341378,2.64e-05,4.4e-05,1.76e-05,2.64e-05,0.012229779,0.000756663,0.001020615,0.000184766,0.00021996,8.8e-06,0.003686531,0.003475369,0.000369533,0.000466315,0.00258673,6.16e-05,2.64e-05,9.68e-05,0.001513325,7.04e-05,8.8e-06,8.8e-06,4.4e-05,3.52e-05,5.28e-05,8.8e-06,0,0.001284567,0.000175968,4.4e-05,5.28e-05,2.64e-05,1.76e-05,0,7.04e-05,0.005648574,0.000131976,8.8e-06,0,4.4e-05,0,0,8.8e-06,0
"mgm4441835","free-living","groundwater","Porous",0.154049433,0.013031763,0.094694026,0.057515933,0.14070412,0.004213096,0.09636965,0.002401858,0.002834981,3.94e-05,7.87e-05,0.000255936,0.000255936,0.000610308,9.84e-05,7.87e-05,1.97e-05,0.000708745,0.000157499,0,3.94e-05,0.000433122,0.000118124,5.91e-05,1.97e-05,0,5.91e-05,1.97e-05,1.97e-05,1.97e-05,3.94e-05,5.91e-05,0,0,0.000137812,1.97e-05,0,0,1.97e-05,0,0,1.97e-05,0,0,0,1.97e-05,9.84e-05,0,1.97e-05,0,0,0,1.97e-05,0,0.000334685,3.94e-05,7.87e-05,5.91e-05,0.000177186,9.84e-05,7.87e-05,5.91e-05,0,0,0,1.97e-05,0,0,1.97e-05,9.84e-05,0.000137812,5.91e-05,5.91e-05,5.91e-05,0.000157499,9.84e-05,0,3.94e-05,1.97e-05,0,0,0,3.94e-05,3.94e-05,1.97e-05,0,1.97e-05,0,7.87e-05,0,5.91e-05,0,0,1.97e-05,0.000118124,7.87e-05,3.94e-05,3.94e-05,0,0,0,0,0.405736898,0.004803717,0.00029531,0.000216561,0.000610308,0.000196874,0.000216561,7.87e-05,0.000118124,0.000177186,1.97e-05,0,0.002775918,0.001594677,0.000433122,0.00074812,5.91e-05,0,0.000925306,0.001082805,0.000492184,0.002126235,0.000177186,0,0.00029531,0.000216561,0.001693113,0.000177186,1.97e-05,0.000177186,5.91e-05,1.97e-05,0.00029531,0,0,0.002185297,3.94e-05,1.97e-05,0,0,0,0,0.000157499,9.84e-05,1.97e-05,0,0,1.97e-05,0,0,1.97e-05,0
"mgm4442086","free-living","groundwater","Porous",0.089300966,0.019416554,0.116840966,0.224913166,0,0.00903855,0.116898586,0.003671473,0.003783579,9.81e-05,7.01e-05,0.000378358,0.000392371,0.000728689,4.2e-05,8.41e-05,0.000126119,0.000588557,0.000308292,1.4e-05,9.81e-05,0.000546517,0.000238225,0.000112106,0,0,4.2e-05,2.8e-05,7.01e-05,8.41e-05,1.4e-05,1.4e-05,4.2e-05,0,4.2e-05,2.8e-05,0,0,0,2.8e-05,1.4e-05,0,7.01e-05,0,0,0,2.8e-05,2.8e-05,1.4e-05,1.4e-05,0,1.4e-05,1.4e-05,0,0.000294278,0.000126119,0.000182172,0.000224212,0.000168159,0.000168159,9.81e-05,5.61e-05,1.4e-05,0,1.4e-05,4.2e-05,0,0,0,0.000112106,0.000364345,4.2e-05,0.000238225,0.000154146,0.000224212,8.41e-05,1.4e-05,8.41e-05,5.61e-05,2.8e-05,0,0,0.000126119,2.8e-05,1.4e-05,5.61e-05,2.8e-05,9.81e-05,2.8e-05,1.4e-05,7.01e-05,0,0,0,0.000252239,9.81e-05,2.8e-05,7.01e-05,4.2e-05,0,1.4e-05,1.4e-05,0.467944676,0.004708454,0.00060257,0.000476451,0.001331259,0.000504477,0.000392371,0.000252239,0.000196186,0.000238225,4.2e-05,0,0.003923712,0.002886731,0.000588557,0.001149087,0.000168159,7.01e-05,0.001429352,0.001457379,0.001177114,0.002928771,0.000364345,1.4e-05,0.000448424,0.000434411,0.003026863,4.2e-05,2.8e-05,0.000126119,2.8e-05,4.2e-05,0.000210199,2.8e-05,0,0.003503314,5.61e-05,1.4e-05,1.4e-05,4.2e-05,1.4e-05,0,0.000182172,0.000154146,0,0,0,0.000140133,0,0,0,0
"mgm4739174","free-living","groundwater","Karst-Porous",0.065134828,0.048797837,0.495789925,0.027851462,0,0.278106261,0.018946766,0.010374964,0.001687227,2.71e-05,0,0.000747412,0.00084608,0.000172669,0.000226937,0.000138136,0.000106068,0.00018747,0.000315738,0.000111002,0.00044154,0.00129502,0.000189936,7.4e-05,0.000115935,2.96e-05,0.000291071,7.89e-05,0.000113468,0.000150469,0.000175136,0.000138136,7.15e-05,2.47e-06,5.92e-05,0.000103602,2.47e-05,0.000120869,4.44e-05,0.000111002,6.17e-05,4.93e-06,5.92e-05,9.62e-05,3.45e-05,2.71e-05,9.87e-06,2.22e-05,1.73e-05,3.7e-05,3.95e-05,7.4e-06,0,0,0.000342872,6.41e-05,0.000416873,0.000288605,0.000446474,0.00148989,5.18e-05,0.000123335,6.66e-05,8.14e-05,5.92e-05,2.71e-05,7.89e-05,2.22e-05,1.23e-05,4.44e-05,0.000851013,9.62e-05,0.001605825,0.000120869,0.000296005,0.000111002,2.71e-05,4.44e-05,0.000108535,8.88e-05,5.18e-05,6.66e-05,0.000118402,0,0.000199803,0.000715345,2.96e-05,0.000172669,1.97e-05,2.47e-06,7.65e-05,3.45e-05,4.69e-05,4.93e-06,1.23e-05,9.87e-06,0.000125802,1.97e-05,4.93e-06,0,1.23e-05,2.47e-06,0.014477095,0.002634442,0.000167736,5.92e-05,0.000342872,0.00170696,7.65e-05,8.63e-05,0.000162803,0.000165269,4.44e-05,9.87e-06,0.007141113,0.004336469,0.001551558,0.00082388,0.000152936,5.43e-05,0.003401587,0.00655897,0.001578692,0.001031083,0.000249137,0.000103602,0.000115935,5.67e-05,0.000162803,1.48e-05,1.73e-05,0.000108535,4.93e-06,3.21e-05,1.73e-05,7.4e-06,4.93e-06,0.002146034,0.000271338,9.13e-05,2.47e-05,0,4.93e-06,0,0.000123335,0.001588558,8.14e-05,1.23e-05,2.47e-06,2.47e-06,0,2.47e-06,0,0
"mgm4739175","free-living","groundwater","Karst-Porous",0.628241312,0.163998872,0.042318993,0.036051245,0,0.0539347,0.009407956,0.015649251,0.001091932,7.08e-06,5.9e-06,0.000844758,0.001009934,6.19e-05,3.6e-05,2.18e-05,1.83e-05,7.14e-05,7.55e-05,2.54e-05,6.61e-05,9.79e-05,0.000133911,3.07e-05,1.36e-05,5.9e-06,0.000117393,9.44e-06,2.6e-05,1.53e-05,2.89e-05,2.01e-05,1.12e-05,6.49e-06,9.44e-06,1.12e-05,1.47e-05,2.71e-05,8.85e-06,2.83e-05,3.54e-06,5.9e-06,1.24e-05,4.13e-06,4.13e-06,1.53e-05,5.9e-07,4.13e-06,4.13e-06,9.44e-06,1.36e-05,5.9e-06,1.18e-06,5.9e-07,8.08e-05,1.89e-05,4.48e-05,7.26e-05,6.43e-05,1.95e-05,1.42e-05,1.24e-05,1.83e-05,2.01e-05,1.42e-05,4.54e-05,2.95e-06,9.44e-06,2.36e-06,2.3e-05,0.003161352,2.01e-05,0.002198021,3.54e-05,9.56e-05,0.000115623,1.42e-05,2.01e-05,3.95e-05,7.61e-05,1.18e-06,9.91e-05,8.26e-05,3.54e-06,0.000474291,0.000796385,8.26e-06,0.000165176,1.42e-05,1.77e-06,1.71e-05,5.19e-05,3.13e-05,1.06e-05,2.6e-05,6.49e-06,9.5e-05,9.08e-05,6.49e-06,8.26e-06,2.54e-05,2.95e-06,0.008465863,0.00117334,0.000201751,3.36e-05,0.000143939,0.002540762,5.66e-05,0.000282569,0.000143349,8.49e-05,2.95e-05,3.54e-05,0.006661904,0.007884207,0.000572217,0.000499658,3.3e-05,4.19e-05,0.003564853,0.011567043,0.00110078,0.001204015,0.000119163,0.000107954,4.37e-05,5.96e-05,0.000165766,1.47e-05,1.42e-05,2.54e-05,2.95e-06,2.42e-05,3.6e-05,1.12e-05,2.36e-06,0.002314234,5.96e-05,2.12e-05,2.95e-06,3.54e-06,2.95e-06,5.9e-07,5.19e-05,0.00020411,0.000186413,7.67e-06,5.9e-07,7.67e-06,5.9e-07,1.77e-06,5.9e-06,0
"mgm4739176","free-living","groundwater","Karst-Porous",0.579165405,0.160340224,0.04589997,0.025447989,0,0.070158917,0.019357792,0.011248447,0.002511281,0,0,0.000693218,0.000693218,6.54e-05,0,0.000117716,2.62e-05,0,0.000353149,9.16e-05,0.000523184,0.000104637,0.000104637,0,0,0,9.16e-05,0,0,5.23e-05,1.31e-05,1.31e-05,0,0,0,0,1.31e-05,5.23e-05,0,0,0,0,0,0,0,9.16e-05,0,0.000143875,0,5.23e-05,0,0,0,0,5.23e-05,0.000170035,0.000104637,0.000130796,0.000274671,0.000261592,0,0,0,0,5.23e-05,0,0,0,1.31e-05,0,0.000418547,6.54e-05,0.002668236,3.92e-05,0.000143875,5.23e-05,0,0,3.92e-05,0,3.92e-05,0,0.000156955,0,0.000104637,0.000745537,0,0.000130796,0,0.000104637,0,7.85e-05,0,0,6.54e-05,0,0,1.31e-05,0,0,0.000130796,2.62e-05,0.037420705,0.004355503,5.23e-05,0,0.00032699,0.002001177,0.000261592,9.16e-05,0.000156955,3.92e-05,9.16e-05,0,0.008135505,0.009495782,0.000523184,0.000510104,0.000156955,7.85e-05,0.00223661,0.009718135,0.000536263,0.001988098,0.000196194,0.000104637,6.54e-05,0.000143875,0.000222353,0.000156955,1.31e-05,0.000143875,0,0.000117716,0,0,0,0.002812112,0.000300831,0,0,0,0,0,0.000209273,0.008253221,6.54e-05,0,0,1.31e-05,0,0,0,0
